Название,Время чтения,Просмотры,Текст,Ключевые слова,Ссылка
"Распознавание капчи токеном или кликами, что быстрее? Сравнение методов на практике",6 мин,Количество просмотров778,"Очень часто по работе сталкиваюсь с различными сервисами для упрощения работы в различных сферах. Речь сейчас не про сервисы, типа Кей Коллектор или Ахрефс, а про Zennoposter или BAS — я не являюсь профессором в области автоматизации, объясню просто, как я понимаю — указанные сервисы это своего рода сложная многоуровневая оболочка, на базе которой можно создавать любые боты и скрипты, которые могут решать практически любые задачи без человеческого вмешательства. То есть нейросеть на минималках. И кстати, появились подобные сервисы еще задолго до того, как использование нейросети для повседневных задач стало мейнстримом.","Информационная безопасность*, JavaScript*",https://habr.com/ru/articles/858458/
История о том как мы подарили вторую жизнь своей игре,5 мин,Количество просмотров1.3K,Всем привет!,"Игры и игровые консоли, Godot*",https://habr.com/ru/articles/858454/
"Рецензия на книгу “Изучаем паттерны проектирования JavaScript, 2-е издание”",8 мин,Количество просмотров2.1K,"Когда автор Адди Османи написал первую версию книги Learning JavaScript Design Patterns в 2012 году, JavaScript еще начинал завоевывать популярность как язык для создания сложных веб-приложений. С тех пор JavaScript претерпел значительные изменения и превратился в один из самых популярных языков программирования, используемый для разработки от простых скриптов до сложных веб-приложений. Если вы совершенствуетесь в JavaScript — не пропустите второе издание этой книги в переводе от издательства БХВ Петербург.","Блог компании SSP SOFT, Учебный процесс в IT, Карьера в IT-индустрии, Профессиональная литература*, JavaScript*",https://habr.com/ru/companies/ssp-soft/articles/858326/
"Разбираем iOS-приложение: код, сборка, статические и динамические библиотеки, компиляция, запуск",12 мин,Количество просмотров1.3K,Хотел бы начать с кода. Я разделяю код на 4 категории:,"Блог компании Альфа-Банк, Разработка под iOS*, Программирование*, Xcode*",https://habr.com/ru/companies/alfa/articles/858252/
Руководство по heatmap для анализа игрового уровня,9 мин,Количество просмотров613,"Привет, Хабр! В этой статье мы разберемся, как тепловые карты (heatmaps) могут стать мощным инструментом для анализа поведения игроков и оптимизации дизайна игровых уровней. Тепловые карты позволяют выявить скрытые закономерности в том, как игроки взаимодействуют с игрой: где они часто погибают, какие пути выбирают, и какие зоны карты остаются неизведанными. С помощью этих данных разработчики могут принимать обоснованные решения, улучшая баланс и увлекательность уровней. В этой статье мы создадим тепловую карту с использованием Python и рассмотрим, как это помогает в практике разработки игр.","Блог компании Serverspace, Разработка игр*, Дизайн игр*, Игры и игровые консоли, Визуализация данных*",https://habr.com/ru/companies/serverspace/articles/858006/
Встраивание вредоносного исполняемого файла в обычный PDF или EXE,3 мин,Количество просмотров5.3K,"ОТКАЗ ОТ ОТВЕТСТВЕННОСТИ: Использование данных инструментов и методов против хостов, для которых у вас нет явного разрешения на тестирование, является незаконным. Вы несете ответственность за любые проблемы, которые могут возникнуть в результате использования этих инструментов и методов.",Информационная безопасность*,https://habr.com/ru/articles/858446/
30k аудиозаписей: наводим порядок,7 мин,Количество просмотров1K,"Зачем писать дневник, если можно его надиктовывать? Казалось бы, здравая мысль, но как потом с ним работать? И нужен ли он вообще в таком виде? Сейчас есть довольно большое количество программ, которые сразу сделают speech‑to‑text, и проблемы не будет. А что, если такая идея возникла «‑дцать» лет назад, когда деревья были большими, а в телефонах только‑только появилась функция «диктофон»? За многие годы в нашей домашней аудиотеке накопилось более 30,000 таких записей. Пришла пора разложить всё по полкам, конечно же, с «преферансом и куртизанками».","Python*, Программирование*, Open source*, Звук, Лайфхаки для гиков",https://habr.com/ru/articles/857478/
«Приключение на 20 минут: взял и поменял язык». Личный опыт перехода на Kotlin,7 мин,Количество просмотров5.7K,"Это небольшое представление будет важно для дальнейшего обоснования своей позиции. Зовут меня Артемий, разработчик в компании i-Digital, еще в начале своего карьерного пути выбрал для себя основным языком Python и развивался по большей части в нем. В какой-то момент начал преподавать его молодому поколению разработчиков в частных студиях, а заодно брать студентов на личное обучение.","Программирование*, Kotlin*, Карьера в IT-индустрии, Учебный процесс в IT",https://habr.com/ru/articles/858436/
Как работают Kubernetes Services: управление трафиком с помощью iptables,15 мин,Количество просмотров2.2K,"Примечание переводчика: статья является переводом оригинального материала Марка Бетца (Mark Betz). В ней рассматриваются ключевые аспекты работы Kubernetes Services (далее — сервисы) и то, какое участие в этом принимает iptables. Этот перевод поможет русскоязычным читателям лучше разобраться в сложных концепциях Kubernetes и эффективно применять их на практике. Статья особенно актуальна для DevOps/DevSecOps-инженеров и администраторов кластеров Kubernetes.","Блог компании Флант, Kubernetes*, DevOps*, Open source*, Облачные вычисления*",https://habr.com/ru/companies/flant/articles/856944/
nanoCAD BIM ОПС: редактирование шаблонов спецификации в соответствии с ГОСТ 21.110-2013 СПДС,5 мин,Количество просмотров175,"При внедрении программного обеспечения линейки nanoCAD Инженерный BIM часто возникают вопросы, связанные с настройкой шаблонов выходной документации. Основные подходы к решению такой задачи рассмотрим сегодня на примере спецификации оборудования, изделий и материалов nanoCAD BIM ОПС. И сразу отметим, что данный подход работает также в nanoCAD BIM СКС и nanoCAD BIM Электро.","Блог компании Нанософт разработка, CAD/CAM*",https://habr.com/ru/companies/nanosoft/articles/857710/
Как поднять инфраструктуру для запуска автотестов Android в облаках,12 мин,Количество просмотров706,"Привет! Меня зовут Денис Веренцов, я Android-инженер из команды Emcee. Это технопродукт Авито, универсальное решение для запуска iOS и Android-тестов, с его помощью можно быстрее выкатывать новые фичи пользователям и клиентам. В этой статье я расскажу, как можно развернуть облачную инфраструктуру для запуска нативных автотестов Android-приложений на основе разработанного нами решения.","Блог компании AvitoTech, Тестирование IT-систем*, Облачные сервисы*, Разработка под Android*, Тестирование мобильных приложений*",https://habr.com/ru/companies/avito/articles/858222/
Настройка no-code приложения ALM (Управление активами и пассивами),11 мин,Количество просмотров343,"Привет! На связи опять команда «БизнесАнализ» от ПрограмБанка и я, Мария, её руководитель.","Блог компании ПрограмБанк, Визуальное программирование*",https://habr.com/ru/companies/programbank/articles/858204/
Кроссплатформенные приложения на Python с Flet и FastAPI: Полное руководство по разработке,39 мин,Количество просмотров4.6K,"Сегодня я покажу вам, что для создания полноценных кроссплатформенных приложений достаточно одного языка — Python. С помощью всего нескольких библиотек и фреймворков можно легко обойтись без JavaScript для веб-разработки, без Kotlin и Swift для мобильных приложений и даже без C++ для десктопных программ.","Блог компании Amvera, Разработка мобильных приложений*, Python*, API*, SQLite*",https://habr.com/ru/companies/amvera/articles/858292/
Ошибки при работе с tailwindcss,3 мин,Количество просмотров867,Использование модификатора !important чтобы перебить другие классы (стили).,"CSS*, HTML*, ReactJS*, VueJS*, Веб-разработка*",https://habr.com/ru/articles/858426/
"Lasso, Ridge и кастомные регуляризаторы: основы",5 мин,Количество просмотров350,"Сегодня разберем тему, которая хоть и звучит скромно — Lasso, Ridge и кастомные регуляризаторы, — но на практике буквально спасает модели от переобучения. Если у вас бывало так, что модель на тренировочных данных показывает отличные результаты, а при проверке на валидации теряет весь блеск — поздравляю, вы столкнулись с тем самым переобучением! Регуляризация здесь как раз для того и нужна: помогает «усмирить» модель, добавляя ограничения, которые не дают ей запоминать лишние детали.","Блог компании OTUS, Машинное обучение*",https://habr.com/ru/companies/otus/articles/856580/
"UART-терминал из LCD-дисплея, PS/2 клавиатуры и любого МК",5 мин,Количество просмотров3.4K,"Совсем коротенький рассказ — о довольно бесполезной но забавной штуковине, извините :)","Электроника для начинающих, Программирование микроконтроллеров*, C*",https://habr.com/ru/articles/858358/
Простой шлюз в сеть Интернет на nftables в ОС Astra Linux Special Edition,17 мин,Количество просмотров2K,"Новая система фильтрации пакетов, фреймворк nftables, работает, начиная с версии Debian 10 Buster. ОС Astra Linux Special Edition (ALSE) основана на Debian и его пакетной базе, поддерживает nftables, начиная с версии 1.7.4.","Блог компании Группа Астра, Настройка Linux*, Разработка под Linux*",https://habr.com/ru/companies/astralinux/articles/858390/
Пути увеличения выручки в 2025 году. Как мы увеличили продажи интернет-магазина на 34%,5 мин,Количество просмотров552,"Разработали для Стройпарка мобильное приложение. На его примере рассказываем о трендах, которые будут актуальны для e-commerce в 2025 году и в особенности — для строительных и отделочных материалов и DIY-рынка.","Интерфейсы*, Разработка мобильных приложений*, Разработка под Android*, Разработка под iOS*, Монетизация мобильных приложений*",https://habr.com/ru/articles/858408/
"«Едем» в Гронинген: длиннейшее описание поиска кратчайшего пути по следам Дейкстры, изобретателя известного алгоритма",19 мин,Количество просмотров699,"Статья о том, что писал сам изобретатель Эдсгер Дейкстра о своём алгоритме поиска кратчайшего пути в первоисточнике. Приведён пример: как найти этот путь между двумя голландскими городами, которые посещал автор алгоритма.","Алгоритмы*, История IT, Читальный зал",https://habr.com/ru/articles/858394/
Приложение SMD CODES  для смартфонов для распознания электронных компонентов по маркировке на корпусе,3 мин,Количество просмотров8.9K,"Увидев однажды пост про свое приложение, решил написать небольшую статью, описав все возможности разработки. Думаю, многим будет интересно..",Разработка под Android*,https://habr.com/ru/articles/858392/
Нафига козе баян? (Мне не сдались такие программисты),5 мин,Количество просмотров37K,"Я обычно не люблю затрагивать общие вопросы, но на работе недавно столкнулся с очень специфичной ситуацией, которой хочу поделиться с вами. Касается она нового человека, которого в 2024 наняли свеженьким, из колледжа.","Программирование*, C#*, Образование за рубежом, Управление персоналом*, Карьера в IT-индустрии",https://habr.com/ru/articles/858386/
Почему не стоит использовать C в C++,7 мин,Количество просмотров11K,"Друзья! В данной статье мы бы хотели порассуждать на тему использования инструментария языка C в C++, и как это может повлиять на исходную программу.Ссылки на полезные ресурсы вы сможете увидеть в конце статьи, и обязательно делитесь своим мнением в комментариях, нам будет очень интересно с ним ознакомиться!","C++*, C*",https://habr.com/ru/articles/858366/
Безопасность во Frontend или как пройти все круги Данте,10 мин,Количество просмотров1.2K,"Здравствуйте. Сегодня обсудим безопасность, безопасную разработку и как получать документы, подтверждающие, что ваш продукт безопасен. Возникает резонный вопрос: зачем это вообще нужно? Ну, так как текущие реалии диктуют свои условия. И речь даже не о сложившейся геополитической ситуации в мире. А о том, что все больше и больше желающих получить то, что им не принадлежит. Будь то персональные данные, деньги, имущество, аккаунты игр (да-да, это тоже стоит денег), и в общем всё, что не прибито гвоздями.","JavaScript*, Информационная безопасность*, Управление разработкой*",https://habr.com/ru/articles/858332/
"Слои UX, Business Model Canvas и CJM – что такое и зачем надобно",10 мин,Количество просмотров729,"Привет! Обещала опубликовать вторую часть рецензии через неделю, а получилось...через полтора месяца. Если вы не понимаете, о какой рецензии речь, вам сюда. В первой части я рассказала о SUS, MVP, концепциях Personas и JTBD, разнице между MVT и A/B-тестированием, об API, как о факторе, формирующем UX, и многом другом.","Веб-дизайн*, Интерфейсы*, Профессиональная литература*, Дизайн мобильных приложений*, Контент и копирайтинг*",https://habr.com/ru/articles/858328/
Тестирование с помощью Excel,1 мин,Количество просмотров2.4K,"Выполнить тестирование сотрудников после обучения можно с помощью Excel.Задача, вероятно, не самая актуальная на сегодняшний день, но может кому то и пригодится...",Тестирование IT-систем*,https://habr.com/ru/articles/858322/
Kali Linux и Parrot OS,6 мин,Количество просмотров4.9K,Обязательно подпишитесь на наш Telegram-канал чтобы быть в курсе всех обновлений и событий.,Информационная безопасность*,https://habr.com/ru/articles/858318/
Коммитить нельзя сканировать: как мы боремся с секретами в коде,8 мин,Количество просмотров4.5K,"Привет, Хабр! Меня зовут Александр Карпов, я работаю в команде защиты приложений ИБ VK. Сегодня я хочу рассказать про наш процесс поиска секретов в каждом коммите в GitLab. У нас, как и у большинства компаний, был классический процесс борьбы с секретами – различные инструменты сканировали кодовую базу, и при обнаружении паролей, токенов и т.д. нам приходилось их ротировать. Главная проблема такого подхода в том, что проверить, действительно ли секрет был инвалидирован, не всегда возможно. По этой причине мы решили, что оптимально будет вычищать кодовую базу от любых секретов.","Блог компании VK, Информационная безопасность*, Git*",https://habr.com/ru/companies/vk/articles/858022/
Мини заметка об оптимизации Arch Linux,12 мин,Количество просмотров7K,"Всем привет! Наверно, многие пришли к линуксу, когда их старый компьютер или ноутбук не тянул, или плохо тянул операционные системы от Microsoft. Многие пробовали разные дистрибутивы - AntiX, MX Linux, Linux Lite, Lubuntu, Xubuntu, и многие другие. Но скорее всего, вы в итоге пришли к Arch Linux - по моему скромному мнению, одному из лучших дистрибутивов.","Настройка Linux*, Разработка под Linux*",https://habr.com/ru/articles/813757/
Органические полупроводники для дисплеев и не только: краткий патентный анализ,6 мин,Количество просмотров632,"У многих на слуху неорганические полупроводники: кремний, германий и прочие, о которых мы писали или упоминали во многих наших статьях на Хабре.","Блог компании Online patent, Химия, Производство и разработка электроники*, Патентование*",https://habr.com/ru/companies/onlinepatent/articles/858286/
"Краткий обзор форума GIS DAYS 2024: кибераналитика, SOC и итоги «Биржи ИБ- и IT-стартапов»",6 мин,Количество просмотров376,"Продолжаем обзор программы форума GIS DAYS. В тот же день, 3 октября, но в Москве состоялся Tech Day. Было представлено множество докладов о технологиях и аналитике, а также были подведены итоги «Биржи ИБ- и IT-стартапов». Но обо всём по порядку.","Блог компании Газинформсервис, Информационная безопасность*",https://habr.com/ru/companies/gaz-is/articles/854444/
"Датчик линейного положения, работающий по принципу электронного штангенциркуля",12 мин,Количество просмотров9.3K,,"Блог компании RUVDS.com, Математика*, Программирование*, Программирование микроконтроллеров*, Производство и разработка электроники*",https://habr.com/ru/companies/ruvds/articles/858240/
Сборка мусора в Java. Часть 2. Прогресс со времени выхода JDK 8,11 мин,Количество просмотров3K,"Команда Spring АйО перевела и адаптировала доклад ""Garbage Collection in Java: The progress since JDK 8"" Стефана Йоханссона(Stefan Johansson) с последнего Devoxx Belgium.","Блог компании Spring АйО, Java*, Kotlin*",https://habr.com/ru/companies/spring_aio/articles/858166/
"Прощай, программист? AI уже пишет код лучше тебя",18 мин,Количество просмотров28K,"Дмитрий Рожков, менеджер команды Kubernetes-сервисов и создатель популярного YouTube-канала Senior Software Vlogger, поделился своим опытом тестирования AI-ассистентов для программирования. Он рассказал о том, способны ли нейросети заменить программистов, какие подводные камни ждут при работе с AI-помощниками и почему мы до сих пор не видим бума новых приложений, созданных с помощью искусственного интеллекта.","Искусственный интеллект, Программирование*, IT-стандарты*, Будущее здесь",https://habr.com/ru/articles/858268/
Повышение эффективности воронки продаж. Автоматизация продаж.  Контрольные точки. Часть 3,6 мин,Количество просмотров590,"Сертифицированный специалист 1С, 1С-Битрикс24. Соучредитель и технический директор Виноград24","Блог компании OTUS, 1С-Битрикс*, Управление продажами*",https://habr.com/ru/companies/otus/articles/858266/
Скрипты VS Коробка. Как эффективно маскировать данные,13 мин,Количество просмотров1.5K,"В России о маскировании данных почти ничего не знают даже ИТ-руководители. Это мы выяснили вместе с компанией «К2 Кибербезопасность» в результате опроса. Именно поэтому решили познакомить начинающих специалистов с методами обезличивания информации в базах данных (БД), а тем, кто уже знаком с технологией, предоставить продвинутые и удобные подходы к маскированию: от определения и категоризации данных в исходной БД до автоматизации всего процесса обезличивания (встраивание в pipeline CI/CD).","Блог компании Группа компаний «Гарда», Информационная безопасность*",https://habr.com/ru/companies/garda/articles/858014/
Инхаус-разметка с нуля. Реально ли это и насколько полезно?,12 мин,Количество просмотров447,"Разметка данных нужна для обучения нейронных сетей. К примеру, если мы учим сеть отличать живое лицо человека от фотографии или силиконовой маски для Face ID, то нам нужно разметить много-много фотографий человека, показать ИИ его маску и живое лицо. В этом посте расскажу, как мы это делаем в NtechLab и где берем людей для разметки большого объема данных. Также попытаюсь ответить на вопрос, стоит ли создавать собственные отделы по разметке данных внутри компании или можно ограничиться краудсорсингом или аутсорсингом, расскажу о некоторых рабочих кейсах. Приятного чтения!)","Блог компании NtechLab, Big Data*",https://habr.com/ru/companies/ntechlab/articles/858234/
Словарь программистского жаргона без англицизмов,15 мин,Количество просмотров8.5K,"Часто можно встретить словари «программистского жаргона», однако они как правило на 90% состоят из англицизмов. Это не так интересно, поскольку англицизмов можно создать бесконечное количество и они появляются новые каждый день пачками.",Программирование*,https://habr.com/ru/articles/858218/
Почему мы выбрали gRPC вместо tRPC?,11 мин,Количество просмотров4.4K,"Исходный код, разобранный в этой статье, опубликован в этом репозитории","TypeScript*, JavaScript*, Node.JS*, ERP-системы*, IT-стандарты*",https://habr.com/ru/articles/858186/
"Тренды VM: топ уязвимостей октября, «метод Форда» и «атака на жалобщика»",7 мин,Количество просмотров799,"Хабр, привет! Я Александр Леонов, ведущий эксперт лаборатории PT Expert Security Center. Мы с командой аналитиков Positive Technologies каждый месяц исследуем информацию об уязвимостях из баз и бюллетеней безопасности вендоров, социальных сетей, блогов, телеграм-каналов, баз эксплойтов, публичных репозиториев кода и выявляем во всем этом многообразии сведений трендовые уязвимости. Это те уязвимости, которые либо уже эксплуатируются вживую, либо будут эксплуатироваться в ближайшее время.","Блог компании Positive Technologies, Информационная безопасность*, Тестирование IT-систем*, Исследования и прогнозы в IT*, Софт",https://habr.com/ru/companies/pt/articles/858066/
HamClock и Pi-Star — запускаем сервер радиолюбительского приложения на «малинке»,10 мин,Количество просмотров3.2K,"Привет, Хабр! Это Виктор Сергеев, автор команды спецпроектов МТС Диджитал. В детстве я очень любил фантастику и обожал представлять себя в кабине космического корабля с кучей экранов, светящихся индикаторов и переключателей. Рабочее место современного радиолюбителя очень похоже на такой корабль, чему мы обязаны развитию недорогих одноплатников. Они же позволяют создавать портативные, но функциональные устройства, вроде хотспотов MMDVM (Multi-Mode Digital Voice Modem).","Блог компании МТС, Стандарты связи*, DIY или Сделай сам, Разработка на Raspberry Pi*, Софт",https://habr.com/ru/companies/ru_mts/articles/858156/
Что нового в .NET 9?,5 мин,Количество просмотров10K,".NET 9 вышел в релиз, и значит, можно начинать переносить свои проекты на новую версию. В этой статье мы рассмотрим новые улучшения и фишки .NET: C# 13, производительность, BuildCheck, GC, LINQ, NuGet Audit и прочее.","Блог компании PVS-Studio, .NET*, C#*, Программирование*",https://habr.com/ru/companies/pvs-studio/articles/858174/
Как системному аналитику выделиться на собеседовании в 2024?,8 мин,Количество просмотров1.4K,"Всем доброго времени суток!
 На написание данной статьи меня натолкнул процесс найма Системного аналитика к нам в команду, который завершился месяц назад.","Анализ и проектирование систем*, Карьера в IT-индустрии, Учебный процесс в IT, IT-эмиграция",https://habr.com/ru/articles/858074/
Продовольственная безопасность. Часть I,9 мин,Количество просмотров1.6K,"Продовольственная безопасность — элемент национальной безопасности государства.  Продовольственная безопасность является одной из главных целей аграрной и экономической политики государства.Продовольственная безопасность РФВ России основным документом, определяющим совокупность официальных взглядов на цели, задачи и основные направления государственной экономической политики в области обеспечения продовольственной безопасности страны, является Доктрина продовольственной безопасности Российской Федерации, утвержденная указом президента Дмитрия Медведева от 1 февраля 2010 года. В 2019 году в Совете Безопасности РФ начата разработка новой редакции доктрины, которую предполагается принять до конца года.","Высокая производительность*, Биотехнологии, Биология, Здоровье, Научно-популярное",https://habr.com/ru/articles/857916/
А ваш IDM умеет играть в шахматы?,4 мин,Количество просмотров389,"OpenIDM управляет жизненным циклом учетных записей в организации. Автоматизирует процессы приема на работу, администрирования, управления привилегиями, увольнения. Может синхронизировать изменения в учетных записях во множестве корпоративных систем.","Информационная безопасность*, Open source*",https://habr.com/ru/articles/858168/
Обзор способов защиты контейнеров Docker: от простого к сложному,11 мин,Количество просмотров5.4K,немного инженер немного тех.писатель,"Блог компании Selectel, IT-инфраструктура*, IT-компании, Open source*, Информационная безопасность*",https://habr.com/ru/companies/selectel/articles/854850/
Запуск узла Hidden Lake на языке Go,7 мин,Количество просмотров1.2K,"Анонимная сеть Hidden Lake является в своей области уникальным и достаточно своеобразным проектом, т.к. базируется на совершенно иных методах и подходах анонимизации трафика, чем большинство ныне нам известных сетей. Из-за того, что сеть является относительно новой - она часто дополняется и совершенствуется. Одним из таковых дополнений стал новый способ запуска узла HL.","Информационная безопасность*, Децентрализованные сети*, Go*, Программирование*",https://habr.com/ru/articles/858110/
Триггеры в PostgreSQL: основы,6 мин,Количество просмотров1.6K,Приветствую! Сегодня поговорим про триггеры в PostgreSQL.,"Блог компании OTUS, PostgreSQL*, Администрирование баз данных*, SQL*",https://habr.com/ru/companies/otus/articles/857396/
Генерируем презентации с помощью GigaChat и Kandinsky,7 мин,Количество просмотров2.1K,"Все мы время от времени сталкиваемся с необходимостью сделать презентацию, даже если наша работа, казалось бы, этого не предполагает. Часто это трудоёмкая задача, которая досадно надолго отвлекает от просмотра мемов действительно важных дел вроде написания кода и обучения моделей.","Блог компании Сбер, Искусственный интеллект, Машинное обучение*, Обработка изображений*",https://habr.com/ru/companies/sberbank/articles/857904/
"Разбор регулярного выражения, проверяющего простоту чисел",16 мин,Количество просмотров4.8K,Как-то я исследовал способы наиболее эффективного определения простоты числа и наткнулся на следующий код:,"Программирование*, Регулярные выражения*, Алгоритмы*",https://habr.com/ru/articles/856478/
Нейронные оптимизаторы запросов в реляционных БД (Часть 3): Погружение в ранжирование,12 мин,Количество просмотров1.5K,"Ранжирование — это уникальная разновидность задач в машинном обучении, обособленная как от классификации, так и регрессии. Заключительная статья по нейрооптимизаторам в РСУБД, как ни странно, связана именно с ней. Бум в развитии подобных моделей произошёл совсем недавно — в 2023 году, что мы с вами подробно разберём. Сначала погрузимся в ранжирование в целом, а затем увидим, как в соответствии с новой постановкой задачи адаптировались методы поиска оптимального плана исполнения запроса.","Блог компании Postgres Professional, Алгоритмы*, Искусственный интеллект, Машинное обучение*, Высокая производительность*",https://habr.com/ru/companies/postgrespro/articles/857998/
"Новые динтаблицы: вторичные индексы, web assembly и ещё много улучшений к версии YTsaurus 24.1.0",17 мин,Количество просмотров1.4K,"Динамические таблицы — это распределённая база данных, key‑value‑пары которой объединяются в привычные пользователям реляционных СУБД таблицы. В YTsaurus в них можно хранить огромные массивы данных, при этом их можно быстро читать — поэтому YTsaurus используют почти все сервисы Яндекса: Реклама, Маркет, Такси, даже Поиск при построении поисковой базы, и другие.","Блог компании Яндекс, Блог компании Yandex Cloud & Yandex Infrastructure, Big Data*, Open source*, Хранение данных*",https://habr.com/ru/companies/yandex/articles/857708/
Тварь ли я дрожащая или право имею? Берем чужие сайты под свой контроль. Часть 2 — Пользовательские скрипты в Chrome,7 мин,Количество просмотров6.1K,"Сегодня продолжаем тему написания расширения для Chrome, позволяющего внедрять свой код на чужие сайты, тем самым меняя или дополняя их функционал и внешний вид по своему желанию. Для чего это нужно и чем может быть полезно, рассмотрено в предыдущей части. Также в предыдущей статье были рассмотрены вопросы, касающиеся настройки и подготовки к написанию расширения с использованием Angular 18. Напоминаю, что весь код я публикую в открытом доступе на GitHub.","Angular*, Расширения для браузеров, Программирование*, Open source*",https://habr.com/ru/articles/858078/
Транзакции в Spring: сила управления данными,8 мин,Количество просмотров1.1K,"Привет, Хабр! Сегодня разберемся с транзакциями в Spring так, чтобы всё стало ясно и понятно: зачем они нужны, как работают и как их настроить так, чтобы данные были под контролем.","Блог компании OTUS, Программирование*, Java*",https://habr.com/ru/companies/otus/articles/856842/
